"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ROSSI"," Alejandro Luis","ROSSI Alejandro Luis","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"ROSSI"," Cipriana Lorena","ROSSI Cipriana Lorena","Unión Peronista","Rio Negro","NEGATIVO"
"RUIZ"," Ramón","RUIZ Ramón","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SALIM"," Juan Arturo","SALIM Juan Arturo","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"SALUM"," Osvaldo Rubén","SALUM Osvaldo Rubén","Frente para la Victoria - PJ","Salta","AFIRMATIVO"
"SÁNCHEZ"," Fernando","SÁNCHEZ Fernando","Coalición Cívica - ARI - GEN - UPT","C.A.B.A.","NEGATIVO"
"SANTANDER"," Mario Armando","SANTANDER Mario Armando","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO"
"SAPAG"," Silvia Estela","SAPAG Silvia Estela","Frente para la Victoria - PJ","Neuquén","AFIRMATIVO"
"SARGHINI"," Jorge Emilio","SARGHINI Jorge Emilio","Unión Peronista","Buenos Aires","NEGATIVO"
"SATRAGNO"," Lidia Elsa","SATRAGNO Lidia Elsa","Propuesta Republicana","Buenos Aires","NEGATIVO"
"SCALESI"," Juan Carlos","SCALESI Juan Carlos","Consenso Federal","Rio Negro","AFIRMATIVO"
